title,url,scraped_at,published,content,tags
รมว.ทส. ทำ MOU กับกัมพูชา ร่วมมือลดผลกระทบจากมลพิษข้ามแดน,https://www.thairath.co.th/news/politic/2854537,2025-04-23T20:57:55.752803,N/A,"“เฉลิมชัย ศรีอ่อน” บินกัมพูชา ลงนาม MOU ความร่วมมือด้านมลพิษสิ่งแวดล้อมข้ามชายแดนร่วมกัน ไม่จำกัดเพียงแค่ PM 2.5 แต่ยังรวมถึงมลพิษทางน้ำ ขยะมูลฝอย ขยะอันตราย
วันที่ 23 เมษายน 2568 นายเฉลิมชัย ศรีอ่อน รัฐมนตรีว่าการกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม ได้ลงนามในบันทึกความเข้าใจระหว่างกระทรวงสิ่งแวดล้อมแห่งราชอาณาจักรกัมพูชาและกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อมแห่งราชอาณาจักรไทยว่าด้วยความร่วมมือด้านมลพิษต่อสิ่งแวดล้อมข้ามแดน ร่วมกับรัฐมนตรีว่าการกระทรวงสิ่งแวดล้อมของราชอาณาจักรกัมพูชา ณ กรุงพนมเปญ ราชอาณาจักรกัมพูชา โดยมีนางสาวปรีญาพร สุวรรณเกษ อธิบดีกรมควบคุมมลพิษ เข้าร่วมพิธีลงนามด้วย ซึ่ง MOU ดังกล่าว ได้รับความเห็นชอบตามมติ ครม. เมื่อวันที่ 22 เมษายน 2568 มีวัตถุประสงค์เพื่อเสริมสร้างความร่วมมือในการป้องกันและลดผลกระทบจากมลพิษข้ามแดน โดยไม่จำกัดเพียงหมอกควันข้ามแดนแต่รวมถึงมลพิษทางอากาศ มลพิษทางน้ำ ขยะมูลฝอย ขยะอันตราย และรูปแบบอื่น ๆ ของมลพิษ รวมทั้งเสริมสร้างความสัมพันธ์อันดีระหว่างไทยและกัมพูชา โดยบันทึกความเข้าใจฯ ประกอบด้วยขอบเขตความร่วมมือ ดังนี้ 1. การแลกเปลี่ยนองค์ความรู้ ข้อมูล และแนวทางปฏิบัติที่ดีที่เกี่ยวข้องกับการป้องกันมลพิษข้ามแดน 2. การเพิ่มขีดความสามารถของเจ้าหน้าที่และผู้เกี่ยวข้องในการป้องกันและจัดการมลพิษ 3. การดำเนินโครงการวิจัยด้านการจัดการมลพิษข้ามแดนร่วมกัน 4. การตอบสนองอย่างรวดเร็วเพื่อลดผลกระทบต่อสิ่งแวดล้อมและสุขภาพอนามัยของประชาชน 5. การร่วมกันแก้ไขปัญหามลพิษทางสิ่งแวดล้อมข้ามแดนอย่างเหมาะสม และ 6. การดำเนินการและการติดตามผล ทบทวนความก้าวหน้าเป็นประจำ โดยบันทึกความเข้าใจฯ นี้ มีผลบังคับใช้เป็นระยะเวลา 5 ปี นับตั้งแต่วันที่ทุกฝ่ายลงนามในบันทึกความเข้าใจฯ ฉบับนี้
...",
การเมือง,https://www.thairath.co.th/news/politic,2025-04-23T20:57:56.193844,N/A,N/A,
รมว.เกษตรฯ เรียกถกแก้ราคายางพาราตกต่ำ-ประกาศเขตควบคุมยาง ต่อสู้ยางเถื่อน,https://www.thairath.co.th/news/politic/2854542,2025-04-23T20:57:57.449462,N/A,"“รมว.นฤมล” เรียกถกคณะกรรมการควบคุมยาง สร้างความเข้าใจ ภาคเอกชน-เกษตรกรไทย ร่วมแก้ราคายางตกต่ำ พร้อมออกประกาศเขตควบคุมยาง ต่อสู้กับยางเถื่อน รักษาผลประโยชน์และตอบโจทย์การส่งออกยางพารา
วันที่ 23 เมษายน 2568 นางนฤมล ภิญโญสินวัฒน์ รัฐมนตรีว่าการกระทรวงเกษตรและสหกรณ์ ให้สัมภาษณ์ภายหลังการประชุมคณะกรรมการควบคุมยาง ตามพระราชบัญญัติควบคุมยาง พ.ศ.2542 ว่า ที่ประชุมได้รับทราบรายงานสถานการณ์ยางพาราและผลกระทบของมาตรการภาษีสหรัฐอเมริกาต่ออุตสาหกรรมยางไทย พบว่า ประเทศไทยเป็นประเทศผู้ผลิตและส่งออกยางพาราเป็นอันดับ 1 ของโลก ซึ่งในปี 2567 มีการส่งออกยางพาราจำนวน 3.96 ล้านตัน โดยส่งออกยางแท่งเอสทีอาร์มากที่สุด จำนวน 1.76 ล้านตัน อย่างไรก็ตาม กระทรวงเกษตรฯ โดยการยางแห่งประเทศไทย (กยท.) ได้ดำเนินการศึกษามาตรการการเรียกเก็บภาษีของสหรัฐอเมริกา พร้อมทั้งติดตามสถานการณ์อย่างใกล้ชิด เพื่อกำหนดแนวทางการดำเนินงานที่เหมาะสมสำหรับการรับมือกับมาตรการดังกล่าว และลดผลกระทบที่อาจจะเกิดขึ้นกับพี่น้องเกษตรกรให้น้อยที่สุด
นอกจากนี้ ในที่ประชุมมีมติเห็นชอบ (ร่าง) ประกาศกระทรวงเกษตรและสหกรณ์ เรื่อง เขตควบคุมการขนย้ายยางพารา พ.ศ. .... ในพื้นที่ 5 จังหวัด ได้แก่ 1. อำเภอแม่สอด จังหวัดตาก 2. อำเภอสังขละบุรี จังหวัดกาญจนบุรี 3. อำเภอเมืองประจวบคีรีขันธ์ จังหวัดประจวบคีรีขันธ์ 4. อำเภอกระบุรี จังหวัดระนอง และ 5. อำเภอเวียงแก่น จังหวัดเชียงราย เพื่อรักษาเสถียรภาพราคายางให้มีความมั่นคง และป้องปรามการลักลอบนำยางเข้าราชอาณาจักร อีกทั้งมีมติเห็นชอบ (ร่าง) ประกาศกระทรวงเกษตรและสหกรณ์ เรื่อง การกำหนดมาตรฐานยางและวิธีการมัดยางและการบรรจุหีบห่อยางเพื่อการส่งออก พ.ศ. .... เพื่อสร้างความชัดเจนในมาตรฐานการส่งออกของผู้ประกอบการและเกษตรกรในอนาคต
...
“เรารับรู้ถึงความทุกข์ของเกษตรกร จึงต้องให้ความเป็นธรรมว่า จะทำอย่างไรให้ราคายางพาราอยู่ในจุดที่เหมาะสม กระทรวงเกษตรฯ ในฐานะภาครัฐที่มีหน้าที่ดูแลเกษตรกร ถือว่าอยู่ตรงกลางระหว่างภาคเอกชนกับเกษตรกรไทย การประชุมครั้งนี้ได้มีการแลกเปลี่ยนและสร้างความเข้าใจร่วมกัน เพราะต้องเข้าใจด้วยว่าเกษตรกรจะอยู่ได้ ก็ต้องทำให้ภาคเอกชนอยู่ได้ด้วยเช่นกัน และก็จำเป็นต้องทำงานร่วมกันทั้งสามฝ่าย ไม่ว่าจะเป็นเรื่องของข้อมูลตลาด ราคา และรายละเอียดต่างๆ ซึ่งจากนี้จะมีการนัดเพื่อพูดคุยกันนอกรอบ และนำกลับเข้ามาพิจารณาในที่ประชุมครั้งหน้า ซึ่งทางภาคเอกชนก็เข้าใจในภารกิจของกระทรวงเกษตรฯ เป็นอย่างดี และพร้อมที่จะให้ความร่วมมือ แต่ก็ขอให้เราสนับสนุนอุตสาหกรรมที่เกี่ยวข้องกับยางพาราด้วย” นางนฤมล กล่าว
นางนฤมล กล่าวทิ้งท้ายว่า ขอฝากถึงพี่น้องเกษตรกรชาวสวนยางพาราทุกท่าน กระทรวงเกษตรฯ พร้อมเคียงข้างพี่น้องเกษตรกรเสมอเพื่อรักษาผลประโยชน์และสร้างความเป็นธรรมอย่างสูงสุด และพร้อมรับฟังและแก้ไขในทุกปัญหาความเดือดร้อนอย่างจริงจัง",
"ราชกิจจาฯ เผย ""ดำน้ำลึก"" ห้ามพกกล้องถ่ายรูปใต้น้ำ เว้นคนผ่านหลักสูตร AOW- ดำน้ำ 40 ไดฟ์",https://www.thairath.co.th/news/local/2854540,2025-04-23T20:57:57.898084,N/A,"ราชกิจจานุเบกษา เผยแพร่ประกาศกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม ดำน้ำลึก ""Scuba"" ห้ามพกกล้องลงไปถ่ายรูปใต้น้ำ ยกเว้นนักดำน้ำผ่านหลักสูตร AOW หรือมีประสบการณ์ดำน้ำลึกตั้งแต่ 40 ไดฟ์ขึ้นไป
เมื่อวันที่ 22 เมษายน 2568
เว็บไซต์ ราชกิจจานุเบกษา
ได้เผยแพร่ประกาศกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม เรื่อง มาตรการคุ้มครองทรัพยากรปะการังจากกิจกรรมท่องเที่ยวดำน้ำ พ.ศ. 2568
โดยที่ปรากฏว่าแนวปะการังของประเทศไทย ซึ่งเป็นทรัพยากรทางทะเลและชายฝั่งถูกทำลายหรือได้รับความเสียหายอย่างร้ายแรงเข้าชั้นวิกฤติจากการประกอบกิจกรรมท่องเที่ยวดำน้ำในบริเวณแนวปะการัง และมีความจำเป็นอย่างยิ่งที่ต้องมีการสงวน คุ้มครอง และอนุรักษ์แนวปะการังไว้เพื่อการใช้ประโยชน์อย่างยั่งยืน อาศัยอำนาจตามความในมาตรา 44 วรรคหนึ่ง และมาตรา 22 แห่งพระราชบัญญัติส่งเสริมการบริหารจัดการทรัพยากรทางทะเลและชายฝั่ง พ.ศ. 2558 รัฐมนตรีว่าการกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อมโดยความเห็นชอบของคณะกรรมการนโยบายและแผนบริหารจัดการทรัพยากรทางทะเลและชายฝั่งแห่งชาติ และโดยอนุมัติของคณะรัฐมนตรี จึงออกประกาศไว้
โดยในประกาศดังกล่าว มีประเด็นที่น่าสนใจระบุว่า การดำน้ำลึกห้ามนำกล้องลงไปถ่ายภาพใต้น้ำ เว้นแต่เป็นการถ่ายภาพใต้น้ำโดยบุคคลที่ได้สอบผ่านหลักสูตรการดำน้ำลึกในระดับที่ Advanced Open Water ของสถาบัน PADI หรือสถาบัน SSI หรือระดับ Advanced Scuba Diver ของสถาบัน NALI หรือหลักสูตรของสถาบันสอนการดำน้ำอื่นที่เทียบเท่าขึ้นไป หรือต้องมีประสบการณ์การดำน้ำตั้งแต่ 40 ไดฟ์ขึ้นไป และต้องมีใบรับรองการสอบผ่านหลักสูตรดังกล่าว หรือสมุดบันทึกประสบการณ์มาแสดงต่อเจ้าหน้าที่เมื่อเจ้าหน้าที่ขอตรวจ
...
นอกจากนี้ การดำน้ำตื้นในบริเวณแนวปะการังระดับน้ำจะต้องสูงไม่น้อยกว่า 2 เมตรจากยอดปะการัง.
(
อ่านฉบับเต็ม คลิก
)",
ทั่วไทย,https://www.thairath.co.th/news/local,2025-04-23T20:57:58.669716,N/A,N/A,
รวบสาวสอง ลวงเด็กหนุ่มวัย 15 ถ่ายคลิปโป๊ ทำคอนเทนต์กินตับ ล่อลูกค้าเข้ากลุ่มลับ,https://www.thairath.co.th/news/crime/2854541,2025-04-23T20:57:59.133871,N/A,"ตำรวจ ปคม. บุกรวบ ""สาวสอง"" ล่อลวงเด็กหนุ่มวัย 15 มาถ่ายคลิปโป๊ ทำคอนเทนต์มีเพศสัมพันธ์ เพื่อเรียกยอดลูกค้าเข้ากลุ่มลับ
เมื่อเวลา 15.00 น. วันที่ 23 เม.ย. 2568 พล.ต.ต.ทรงกลด เกริกกฤตยา ผบก.ปคม. สั่งการ พ.ต.อ.ก่อเกียรติ วุฒิจำนงค์ ผกก.1 บก.ปคม. พ.ต.ท.สุรศักดิ์ หญีตบึ้ง สว.กก.1 บก.ปคม. จับกุม นายนครินทร์ กุลาศรี อายุ 22 ปี ตามหมายจับศาลอาญา ที่ 2363/2568 ลงวันที่ 17 เม.ย. 2568 ข้อหา ""ค้ามนุษย์จากการผลิตหรือเผยแพร่สื่อลามกเด็ก, ค้าหรือแจกจ่ายสื่อลามกอนาจารเด็ก, พาบุคคลอายุไม่เกินสิบแปดปีไปเพื่อการอนาจาร, พรากผู้เยาว์, ชักจูงส่งเสริมให้เด็กประพฤติตนไม่สมควร"" จับได้ที่หน้าห้องพักภายในซอยทุ่งเศรษฐี แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร
สำหรับการจับกุมครั้งนี้ สืบเนื่องจากเจ้าหน้าที่ กก.1.บก.ปคม. ตรวจพบผู้ใช้บัญชีเอ็กซ์ หรือ ทวิตเตอร์เดิมชื่อ S0PIDA_Nam มีผู้ติดตามกว่า 44,000 ราย โพสต์โฆษณาคลิปลามกอนาจารชายกับชายกว่า 100 คลิป เพื่อชักชวนผู้ที่สนใจอยากรับชมคลิปวิดีโอเต็มให้สมัครเป็นสมาชิกเข้ากลุ่มลับ บัญชีเอ็กซ์ล็อค ชื่อบัญชี Sonam_sopida ก่อนเรียกเก็บเงินค่าสมัคร 299 บาท จึงส่งสายลับแฝงตัวเข้าไปในกลุ่มลับดังกล่าว
จากการตรวจสอบพบคลิปวิดีโอลามกอนาจารชายกับชายต่างๆ ที่มีการเผยแพร่อยู่ในกลุ่มลับนั้น มีบางคลิปเป็นเด็กหนุ่มอายุประมาณ 15 ปี ถูกล่อลวงมาร่วมหลับนอนกับนายนครินทร์ ที่แต่งกายเป็นหญิง ก่อนบังคับถ่ายคลิปทำคอนเทนต์มีเพศสัมพันธ์กัน
ทั้งนี้ จากแนวทางการสืบสวนพบว่า นายนครินทร์ ทำงานอยู่ที่ห้างสรรพสินค้า ย่านพระโขนง กรุงเทพมหานคร ทุกวันหยุดหรือหลังเลิกงาน มักจะล่อลวงเด็กหนุ่ม ผ่านแอปพลิเคชันเอ็กซ์มาถ่ายวิดีโอขณะมีเพศสัมพันธ์ โดยจะเน้นทำคอนเทนต์เกี่ยวกับเด็ก ก่อนนำไปทำเป็นคลิปโปรโมทชักชวนคนที่มีรสนิยมเดียวกันเข้ากลุ่มลับเก็บเงินค่าสมาชิก ถือเป็นภัยต่อสังคม จึงรวบรวมพยานหลักฐานขอศาลออกหมายจับ ก่อนจะสืบสวนติดตามจับกุมตัวได้ดังกล่าว
...
อย่างไรก็ตาม นายนครินทร์ ให้การรับสารภาพว่า ล่อลวงเด็กหนุ่มมาถ่ายคลิปทำคอนเทนต์มีเพศสัมพันธ์ แล้วนำไปเผยแพร่ในกลุ่มลับ เพื่อเรียกเก็บเงินค่าสมาชิกรับชมจริง เนื่องจากต้องการหารายได้เสริม ทำมานานกว่า 1 ปี มีเงินรายได้จากการทำคลิปลามกหมุนเวียนเข้ามากว่า 1 แสนบาท นำตัวส่ง พนักงานสอบสวน กก.1 บก.ปคม. ดำเนินคดีต่อไป.",
อาชญากรรม,https://www.thairath.co.th/news/crime,2025-04-23T20:57:59.564007,N/A,N/A,
"เตือน 23-25 เม.ย. 68 ""อากาศร้อนถึงร้อนจัด"" แนะหลีกเลี่ยงกิจกรรมกลางแดด",https://www.thairath.co.th/news/local/2854536,2025-04-23T20:57:59.946985,N/A,"อุตฯ ประกาศเตือน 23-25 เม.ย. 68
""อากาศร้อนถึงร้อนจัด""
แนะประชาชน ดื่มน้ำให้เพียงพอ หลีกเลี่ยงกิจกรรมกลางแดด ด้านอาจารย์แพทย์ มช. เผยอากาศร้อนจัด เสี่ยง ""ลมแดด"" ถึงขั้นหมดสติ เสียชีวิตได้
วันที่ 23 เมษายน 2568 เฟซบุ๊ก
กรมอุตุนิยมวิทยา
ประกาศเตือน ช่วงวันที่ 23-25 เม.ย. 68 อากาศร้อนถึงร้อนจัด
ภาคเหนือ 31-41°C
ภาคอีสาน 37-40°C
ภาคกลาง 38-41°C
ภาคตะวันออก 34-38°C
กรุงเทพฯ และปริมณฑล 35-39°C
ขอให้ประชาชนบริเวณประเทศไทยตอนบน รักษาสุขภาพ ดื่มน้ำให้เพียงพอ พยายามหลีกเลี่ยงการทำกิจกรรมกลางแดด และสวมใส่เสื้อผ้าที่ระบายอากาศได้ดี
ขณะที่ทาง ผศ.นพ.กิตติ เทียนขาว ผู้ช่วยคณบดีและอาจารย์ประจำหน่วยประสาทวิทยา ภาควิชาอายุรศาสตร์ คณะแพทยศาสตร์ มช. เปิดเผยว่า ""ฮีทสโตรก"" เกิดจากการที่ร่างกายไม่สามารถควบคุมอุณหภูมิได้ตามปกติ เมื่ออยู่ในสภาพแวดล้อมที่มีความร้อนสูง ร่างกายจึงไม่สามารถระบายความร้อนออกได้
ส่งผลให้เกิดการสะสมของความร้อนภายใน นำไปสู่ความผิดปกติของระบบต่าง ๆ โดยเฉพาะระบบประสาทส่วนกลาง โดยทั่วไป ร่างกายมนุษย์จะรักษาอุณหภูมิให้อยู่ในช่วง 36-37.5 องศาเซลเซียส ผ่านการขับเหงื่อและการระบายความร้อนทางผิวหนัง แต่ในภาวะฮีทสโตรก อุณหภูมิแกนกลางของร่างกายจะสูงเกิน 40 องศาเซลเซียส และทำให้ระบบภายในเริ่มล้มเหลว
ทางการแพทย์แบ่งฮีทสโตรกออกเป็น 2 ประเภท ได้แก่ โรคลมแดดที่ไม่ได้เกิดจากการใช้กำลังกายหนัก (Classical Heat Stroke) มักเกิดกับผู้สูงอายุ เด็กเล็ก หรือผู้มีโรคประจำตัว ที่อยู่ในที่ร้อนเป็นเวลานาน และโรคลมแดดที่เกิดจากการใช้กำลังกายหนัก (Exertional Heat Stroke) เกิดจากการออกแรงหรือออกกำลังกายหนักในที่ร้อน เช่น นักกีฬา หรือคนงานกลางแจ้ง กลุ่มเสี่ยงที่ควรระวัง ได้แก่ ผู้สูงอายุ เด็กเล็ก นักกีฬา ผู้ที่ดื่มน้ำน้อย หรือใช้ยาบางชนิด เช่น ยาขับปัสสาวะ หรือยาต้าน cholinergic รวมถึงผู้ที่เข้าสู่สภาพอากาศร้อนกะทันหันโดยไม่ทันปรับตัว
...
อาการเตือนของฮีทสโตรกที่ไม่ควรมองข้าม ได้แก่ ตัวร้อนจัด อุณหภูมิร่างกายสูงเกิน 40 องศาเซลเซียส ผิวหนังแดงหรือแห้ง หัวใจเต้นเร็ว เหงื่อออกลดลงหรือไม่มีเหงื่อ เวียนศีรษะ คลื่นไส้ ซึม อาเจียน หรือหมดสติ บางรายอาจมีอาการชัก และความดันโลหิตต่ำ การช่วยเหลือเบื้องต้นที่ถูกต้อง คือการลดอุณหภูมิร่างกายโดยเร็วที่สุด โดยพาผู้ป่วยไปยังที่ร่ม นอนราบและยกเท้าสูง ถอดเสื้อคลุมที่ไม่จำเป็นออก จากนั้นใช้น้ำเย็นเช็ดตัว เปิดพัดลมหรือแช่น้ำเย็น เป้าหมายคือลดอุณหภูมิให้ต่ำกว่า 39 องศาเซลเซียสภายใน 30 นาที
หากผู้ป่วยยังรู้สึกตัวดีให้จิบน้ำทันที แต่หากหมดสติ ให้ตรวจสอบชีพจรและการหายใจ หากไม่มีชีพจรต้องทำ CPR และรีบโทรแจ้งสายด่วน 1669 เพื่อขอความช่วยเหลือโดยด่วน แพทย์เน้นย้ำว่า ""ไม่ควรมองข้ามอาการเล็กน้อย เพราะฮีทสโตรกอาจเกิดขึ้นอย่างเงียบ ๆ และกลายเป็นอันตรายที่คาดไม่ถึงได้ภายในเวลาอันสั้น""
ขอบคุณข้อมูลจาก เฟซบุ๊ก กรมอุตุนิยมวิทยา",
พายุฝนลูกเห็บถล่ม “นครพนม” หนักสุดในรอบ 10 ปี อาคารเรียน-บ้านพังเสียหาย,https://www.thairath.co.th/news/local/2854534,2025-04-23T20:58:00.456622,N/A,"หนักสุดรอบ 10 ปี พายุฝนลูกเห็บถล่ม แค่ 30 นาที บ้านเรือนพังเสียหายอย่างหนัก อาคารเรียนพังทั้งหลัง บ้านเรือนหลังคาพังเสียหาย กว่า 80 หลัง หนักสุด บ้านปากบัง
เมื่อวันที่ 23 เมษายน 2568 ผู้สื่อข่าวรายงานว่า ที่ จ.นครพนม สภาพอากาศแปรปรวน ร้อนอบอ้าว เกิดพายุฝนลูกเห็บพัดถล่ม นานเพียง 30 นาที ส่งผลบ้านเรือนชาวบ้าน ในพื้นที่ ต.พิมาน อ.นาแก จ.นครพนม เสียหายรวมกว่า 80 หลังคาเรือน หนักสุดคือ พื้นที่บ้านปากบัง หมู่ 2 ต.พิมาน อ.นาแก มีบ้านเรือนเสียหาย รวมกว่า 50 หลังคาเรือน เสียหายหนักมากกว่า 20 หลังคาเรือน
นอกจากนี้ ยังมีอาคารเรียน แบบไม้ยกสูง ถูกพายุหมุนถล่มพัดพังเสียหายทั้งหลัง และยังมีต้นไม้ เสาไฟฟ้าหักโค่น ไฟฟ้าดับทั้งหมู่บ้าน ถือว่าหนักสุดรอบ 10 ปี โดยพื้นที่นครพนม ในรอบสัปดาห์ที่ผ่านมา มีหลายพื้นที่ได้รับผลกระทบบ้านเรือนพังเสียหายรวมกว่า 200 ครัวเรือน บางรายต้องสูญค่าซ่อมแซมนับแสนบาท
...
ล่าสุด นายบัญชา ศรีชาหลวง นายก อบต.พิมาน อ.นาแก นครพนม ประสาน พ.อ.อธิป แก้วดวงใหญ่ ผู้บังคับหน่วยพัฒนาการเคลื่อนที่ 22 อ.นาแก หน่วยบัญชาการทหารพัฒนา ระดมเจ้าหน้าที่ศูนย์ป้องกันและบรรเทาสาธารณภัย และเจ้าหน้าที่เกี่ยวข้อง ลงพื้นที่ตรวจสอบ ให้การช่วยเหลือซ่อมแซมฟื้นฟูเบื้องต้น พร้อมวางแนวทางในการจัดสรรงบประมาณสนับสนุนช่วยเหลือ ซื้อวัสดุอุปกรณ์ ซ่อมแซม ตามสภาพความเสียหาย แต่ไม่เกินรายละประมาณ 49,000 บาท หากไม่เพียงพอจะได้เสนอขอสนับสนุนจากป้องกันและบรรเทาสาธารณภัยจังหวัดนครพนม ต่อไป พร้อมแจ้งเตือนประชาชน เฝ้าระวังในช่วงนี้มีความเสี่ยงเกิดพายุซ้ำอีก.",
เจ้าหน้าที่ อช.ออบหลวง สกัดจับกระบะลอบขนไม้ประดู่แปรรูป มูลค่ากว่า 2 แสนบาท,https://www.thairath.co.th/news/local/north/2854527,2025-04-23T20:58:00.877283,N/A,"เจ้าหน้าที่ อช.ออบหลวง สกัดจับ 2 หนุ่ม ลักลอบขนไม้ประดู่แปรรูป จอดรถทิ้งไว้ แล้วข้ามแม่น้ำแจ่มหลบหนี หลังพบด่านตำรวจ
วันที่ 23 เมษายน 2568 นายกริชสยาม คงสตรี ผู้อำนวยการสำนักบริหารพื้นที่อนุรักษ์ 16 เปิดเผยว่า เจ้าหน้าที่อุทยานฯ สนธิกำลังปิดล้อมจับกุมขบวนการลักลอบตัดไม้ประดู่ หลังได้รับแจ้งเบาะแสจากพลเมืองดี พบรถต้องสงสัยซุกไม้แปรรูปข้างทาง ผู้ต้องหาทิ้งรถหนีข้ามแม่น้ำแจ่มยามค่ำคืน ก่อนถูกจับในป่าริมน้ำช่วงเช้า
โดยนางสาวนิภาพร ไพศาล หัวหน้าอุทยานแห่งชาติออบหลวง เปิดเผยรายละเอียดปฏิบัติการจับกุมขบวนการลักลอบขนไม้ประดู่ ตามนโยบายของ ดร.เฉลิมชัย ศรีอ่อน รัฐมนตรีกระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม และข้อสั่งการของนายอรรถพล เจริญชันษา อธิบดีกรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช ว่า เหตุการณ์เริ่มต้นเมื่อวันที่ 22 เมษายน 2568 เจ้าหน้าที่อุทยานแห่งชาติออบหลวง ได้รับแจ้งจากพลเมืองดีว่า จะมีการแปรรูปไม้ในเขตป่าสงวนแห่งชาติป่าขุนแม่ลาย ท้องที่บ้านแม่หืด หมู่ที่ 13 ตำบลบ่อหลวง อำเภอฮอด จังหวัดเชียงใหม่ และจะมีการขนไม้ออกจากป่า คณะเจ้าหน้าที่จึงวางแผนสกัดจับเป็น 2 ชุด โดยชุดที่ 1 จากอุทยานแห่งชาติแม่โถ ดักซุ่มบริเวณปากทางเข้าบ้านแม่หืด และชุดที่ 2 จากอุทยานแห่งชาติออบหลวง ดักซุ่มบริเวณหน้าที่ทำการอุทยานฯ
...
กระทั่งเวลาประมาณ 03.00 น. พบรถตามที่ได้รับแจ้งขับออกจากเส้นทางลำลองเข้าบ้านแม่หืด มุ่งหน้าไปอำเภอฮอด เจ้าหน้าที่ชุดที่ 1 จึงแจ้งให้ชุดที่ 2 ตั้งด่านสกัดชั่วคราว แต่ไม่พบรถคันดังกล่าวผ่านจุดสกัด เจ้าหน้าที่จึงค้นหาตามเส้นทางและจุดต้องสงสัย จนกระทั่งเวลา 03.50 น. พบรถจอดซ่อนอยู่ริมป่าข้างทาง ระหว่างหลักกิโลเมตรที่ 110-111 ทางหลวงแผ่นดิน 108 (เชียงใหม่-แม่สะเรียง)
ทางเจ้าหน้าที่ ตรวจสอบพบว่าเป็นรถกระบะนิสสันสีเทาตอนเดียว เสริมโครงเหล็ก ทะเบียน บม 4062 แพร่ (ติดเฉพาะด้านหน้า) ประตูไม่ได้ล็อกและลดกระจกทั้ง 2 ด้านลงครึ่งหนึ่ง ด้านท้ายกระบะมีผ้าใบสีดำคลุมไม้แปรรูปไว้ แต่ไม่พบผู้ขับขี่และกุญแจรถ เจ้าหน้าที่กระจายกำลังตรวจสอบบริเวณใกล้เคียงแต่ไม่พบผู้ใด
เมื่อรุ่งสาง คณะเจ้าหน้าที่ตรวจสอบบริเวณริมน้ำแม่แจ่มอีกครั้ง พบร่องรอยคนข้ามน้ำที่เป็นรอยใหม่ จึงจัดกำลังลาดตระเวนบริเวณป่าท้ายหย่อมบ้านท่าเรือ หมู่ 9 ตำบลบ้านแปะ อำเภอจอมทอง จังหวัดเชียงใหม่ พบชายต้องสงสัย 2 คนนั่งอยู่ในป่าริมน้ำ ได้แก่ นายสาธิต (สงวนนามสกุล) อายุ 27 ปี ชาวตำบลหางดง อำเภอฮอด จังหวัดเชียงใหม่ และนายสุชาติ (สงวนนามสกุล) อายุ 19 ปี ชาวตำบลหางดง อำเภอฮอด จังหวัดเชียงใหม่
ทางนายสาธิต รับสารภาพว่า ทั้งสองร่วมกันขนไม้ประดู่ โดยตนเป็นผู้ขับรถเพื่อนำไปส่งที่อำเภอฮอด บริเวณก่อนถึงสะพานแม่น้ำแจ่ม และจะมีผู้มารับช่วงต่อ แต่เมื่อได้รับแจ้งทางโทรศัพท์ว่ามีด่านตรวจ จึงขับรถหลบเข้าแคมป์หมวดทางหลวงเก่า (พิกัด 47 Q UTM 442256,2015511) แล้วหนีไปตามริมน้ำแม่แจ่ม และข้ามไปพักในป่าฝั่งตรงข้าม โดยทิ้งกุญแจรถไว้บนก้อนหินบริเวณที่จอดรถ
ซึ่งเจ้าหน้าที่ได้ตามไปตรวจค้นจนพบของกลางในคดีนี้ ประกอบด้วยไม้ประดู่แปรรูป 20 แผ่น/เหลี่ยม ปริมาตร 1.790 ลูกบาศก์เมตร คิดเป็นค่าเสียหายของรัฐ 207,200 บาท รถยนต์กระบะนิสสันสีเทา 1 คัน กระสอบบรรจุแกลบ 39 ใบ ตะกร้าหูเหล็ก 57 ใบ ผ้าใบลายฟ้าขาว 2 ผืน ผ้าเต็นท์สีดำ 2 ผืน เชือกถักตาข่าย 1 ผืน และโทรศัพท์มือถือ 2 เครื่อง
คณะเจ้าหน้าที่ได้จับกุมผู้ต้องหาทั้งสอง พร้อมของกลางส่งพนักงานสอบสวนสถานีตำรวจภูธรฮอด จังหวัดเชียงใหม่ เพื่อดำเนินคดีความผิดเกี่ยวกับกฎหมายป่าไม้ต่อไป.",
