
มีคลิปเสียงออกมาให้ได้ฟังกันอีกครั้ง โดยล่าสุดเพจ อีซ้อขยี้ข่าว : อีซ้อ ได้ออกมาเผยคลิปเสียงที่บอกว่าเป็นแฟนหนุ่มของผู้ช่วยผู้จัดการ ที่ได้โทรไปหาผู้จัดการส่วนตัวของนักร้องหนุ่มคนดัง เพื่อบอกเล่าถึงเรื่องราวทั้งหมดที่เจอมา ซึ่งคลิปเสียงดังกล่าวมีความยาว 01.54 นาที

โดยในเพจได้เขียนว่า "ปฐมบทก่อนจะเป็นข่าว ฝั่งผู้ชายได้โทรไปถามและบอกเรื่องราวกับ ผจก.ส่วนตัวกับสิ่งที่เกิดขึ้นหลังคืนวันที่ 4 เมษายน..."

ผู้ชาย "สวัสดีครับ พี่... ใช่ไหมครับพี่"

ผจก. "ค่า"

ผู้ชาย "พี่... สะดวกคุยไหมครับ"

ผจก. "จากไหนคะ"

ผู้ชาย "อ่า ผมชื่อ... นะครับพี่ ผมเป็นแฟน... นะครับพี่"

ผจก. "ฮัลโหล"

ผู้ชาย "ครับพี่... ผมชื่อ... นะครับ ผมเป็นแฟน..."

ผจก. "ค่า"

ผู้ชาย "เอ่อ เมื่อวาน... บอกว่า... จะกลับมาหาผม แล้วพอดีว่าผมเห็นว่าตีสองตีสามแล้วยังไม่กลับ ผมก็เลยไปหาที่คอนโดเพื่อน ผมก็เลยเจอเขากับพี่... ครับพี่"

ผจก. "(เงียบไปแปบนึง) อืม"

ผู้ชาย "พี่... คือผมกับ... ยังไม่ได้เลิกกันนะพี่ ผมไม่รู้ว่าอะไร แต่... บอกผมว่า เรื่องนี้... ก็บอกตอนที่เริ่มไปทำงานตั้งแต่แรกแล้วนะครับว่า... มีแฟนแล้ว"

ผจก. "อืม"

ผู้ชาย "แล้วผมก็ไม่รู้ว่าทำไมถึงกลายเป็นแบบนี้อะพี่ คือพี่... ก็มีแฟนน่ะพี่ เมื่อวานพี่... ก็เห็นผมนะ แต่แกเดินหนีผมไปกับ... อะพี่ คือผมเรียกแล้วก็ไม่กลับมาคุยกับผมอะพี่ ขึ้นรถแล้วขับรถหนีผมไปเลยอะพี่"

ผจก. "เดี๋ยวพี่ขอคุยก่อนนะ เดี๋ยวพี่โทรบอก"
